nappi_code,name,schedule,dosage_form,pack_size,sep,dispensing_fee,is_generic,regno
715039001,Donecept,S5,tablet,30.0,R 334.07,R 117.11,Generic,42/5.3/0490
715040001,Donecept,S5,tablet,30.0,R 349.04,R 121.23,Generic,42/5.3/0491
715091001,Didivir 200/300mg,S4,tablet,30.0,R 658.36,R 181.32,Generic,44/20.2.8/0446
715189001,Sereflo 25/50 hfa 120 dose,S4,inhaler,120.0,R 242.65,R 91.96,Generic,42/21.5.4/0218
715190001,Sereflo 25/125 hfa 120 dose,S4,inhaler,120.0,R 314.17,R 111.64,Generic,42/21.5.4/0219
715191001,Sereflo 25/250 hfa 120 dose,S4,inhaler,120.0,R 410.63,R 138.17,Generic,42/21.5.4/0220
715298003,Colchicine houde,S3,tablet,60.0,R 444.68,R 147.54,Generic,C 665 (ACT 101/1965)
715298004,Colchicine houde,S2,tablet,6.0,R 61.10,R 33.02,Generic,C665 (ACT 101/1965)
715305001,Granicip,S4,tablet,5.0,R 486.98,R 156.10,Generic,41/5.7.2/0398
715574001,Ipvent 40 Hfa,S3,inhaler,200.0,R 268.37,R 99.04,Generic,43/10.2.1/0544
715657001,Olexar,S5,tablet,30.0,R 469.07,R 154.25,Generic,37/2.6.5/0316
715658001,Olexar,S5,tablet,30.0,R 647.40,R 179.70,Generic,37/2.6.5/0317
715659001,Olexar,S5,tablet,30.0,R 811.91,R 203.91,Generic,37/2.6.5/0318
715749001,Cipla docetaxel vial 0.5ml (with solvent,S4,infusion,1.0,R 1157.93,R 254.81,Generic,41/26/0162
715786001,Ciplasyl,S3,tablet,30.0,R 111.74,R 50.54,Generic,41/7.1.3/0671
715795001,Ciplasyl,S3,tablet,30.0,R 216.94,R 84.89,Generic,41/7.1.3/0672
715807001,Cipla docetaxel vial 2ml (with solvent),S4,infusion,6.0,R 4048.29,R 435.83,Generic,41/26/0163
715935001,Serdep,S5,tablet,30.0,R 202.80,R 81.00,Generic,A38/12.2/0617
716178001,Cipla paclitaxel vial 5ml,S4,infusion,5.0,R 221.53,R 86.15,Generic,41/26/0423
716179001,Cipla paclitaxel vial 16.7ml,S4,infusion,16.0,R 629.25,R 177.03,Generic,41/26/0424
716180001,Cipla paclitaxel 50ml,S4,infusion,50.0,R 1659.86,R 305.96,Generic,41/26/0425
716181001,Bicadex,S4,tablet,30.0,R 908.61,R 218.13,Generic,A40/21.12/0304
716182001,Cipla irinotecan vial 2ml,S4,infusion,2.0,R 585.05,R 170.53,Generic,41/26/0049
716183001,Cipla irinotecan vial 5ml,S4,infusion,5.0,R 1314.09,R 277.79,Generic,41/26/0050
716184001,Cipla vinorelbine vial 2ml,S4,infusion,1.0,R 389.60,R 132.39,Generic,42/26/0083
716185001,Cipla vinorelbine vial 5ml,S4,infusion,5.0,R 1588.09,R 302.06,Generic,42/26/0084
716427001,Triplavar,S4,tablet,60.0,R 801.92,R 202.44,Generic,42/20.2.8/0001
716516001,Norfloxacin actor,S4,tablet,6.0,R 84.33,R 41.06,Generic,34/20.1.1/0059
716517001,Piroxicam actor dt,S3,effervescent tablet,30.0,R 85.31,R 41.40,Generic,34/3.1/0095
716518001,Ciprofloxacin actor,S4,tablet,10.0,R 46.47,R 27.96,Generic,37/20.1.1/0079
716519001,Ciprofloxacin actor,S4,tablet,10.0,R 69.02,R 35.76,Generic,37/20.1.1/0080
716520001,Fluoxetine actor,S5,capsule,30.0,R 70.68,R 36.34,Generic,34/1.2/0094
716612001,"Ciplazar Co 50/12,5",S3,tablet,30.0,R 198.84,R 80.68,Generic,42/7.1.3/0723
716613001,Ciplazar Co 100/25,S3,tablet,30.0,R 198.84,R 80.68,Generic,42/7.1.3/0724
716635001,Quetoser,S5,tablet,100.0,R 450.53,R 149.15,Generic,43/2.6.5/0800
716636001,Quetoser,S5,tablet,90.0,R 706.59,R 188.41,Generic,43/2.6.5/0801
716637001,Quetoser,S5,tablet,60.0,R 735.93,R 192.73,Generic,43/2.6.5/0802
716638001,Quetoser,S5,tablet,60.0,R 848.84,R 209.34,Generic,43/2.6.5/0803
716643001,Ciplazar,S3,tablet,30.0,R 132.84,R 57.84,Generic,41/7.1.3/0821
716644001,Ciplazar,S3,tablet,30.0,R 157.16,R 66.26,Generic,41/7.1.3/0822
716738001,Cipla azithromycin powder for solution v,S4,infusion,5.0,R 318.08,R 112.71,Generic,43/20.1.1/0612
716740001,Granicip,S4,tablet,10.0,R 562.08,R 167.15,Generic,41/5.7.2/0397
716768001,Odimune,S4,tablet,30.0,R 646.55,R 179.58,Generic,44/20.2.8/0779
716768002,Odimune,S4,tablet,28.0,R 610.05,R 174.21,Generic,44/20.2.8/0779 
716801001,Cipla-ondansetron,S4,tablet,10.0,R 294.43,R 106.21,Generic,A38/5.10/0435
716802001,Cipla-ondansetron,S4,tablet,10.0,R 540.40,R 163.96,Generic,A38/5.10/0436
717192001,Zomedron powder for reconstitution vial,S4,infusion,10.0,R 1342.33,R 281.94,Generic,43/34/0613
717203001,Cytoblastin Aqueous,S4,injection,10.0,R 407.97,R 137.44,Generic,34/26/0435
717359001,Tavaloxx,S4,tablet,30.0,R 631.45,R 177.36,Generic,41/20.1.1/0007
717655001,Asthavent Respules ,S3,nebuliser,30.0,R 204.84,R 81.56,Generic,A39/10.2.1/0482
717996001,Risnia,S5,tablet,30.0,R 199.16,R 80.00,Generic,42/2.6.5/0792
717997001,Risnia,S5,tablet,30.0,R 343.09,R 119.59,Generic,42/2.6.5/0793
717998001,Risnia,S5,tablet,30.0,R 658.31,R 181.31,Generic,42/2.6.5/0794
717999001,Risnia,S5,tablet,30.0,R 937.25,R 222.35,Generic,42/2.6.5/0795
718301001,Cipla doxorubicin vial powder for inject,S4,injection,1.0,R 141.45,R 60.82,Generic,41/26/0034
718302001,Cipla doxorubicin vial powder for inject,S4,injection,1.0,R 571.71,R 168.57,Generic,41/26/0035
718595001,Imavec,S4,capsule,60.0,R 7184.35,R 606.35,Generic,42/34/0496
718676001,Mivuten,S4,tablet,30.0,R 311.16,R 110.81,Generic,45/20.2.8/0108
718676002,Mivuten,S4,tablet,28.0,R 292.71,R 105.73,Generic,45/20.2.8/0108
718698001,Duolin Hfa Inhaler,S3,inhaler,200.0,R 264.59,R 98.00,Generic,41/10.2.1/0908
718876001,Ciplafam,S4,tablet,10.0,R 221.97,R 86.27,Generic,42/20.2.8/0667
718877001,Ciplafam,S4,tablet,21.0,R 793.44,R 201.19,Generic,42/20.2.8/0668
719046001,Montelukast Cipla 4,S3,tablet,28.0,R 379.50,R 129.61,Generic,44/10.2.2/0844
719047001,Montelukast Cipla 5,S3,tablet,28.0,R 379.50,R 129.61,Generic,44/10.2.2/0845
719048001,Montelukast Cipla 10,S3,tablet,28.0,R 379.50,R 129.61,Generic,44/10.2.2/0846
719156001,Cipla azithromycin,S4,tablet,3.0,R 218.22,R 85.24,Generic,42/20.1.1/0506
719384001,Numal,S4,tablet,12.0,R 560.49,R 166.92,Generic,46/20.2.6/0027
719784001,Diaphage,S3,tablet,90.0,R 78.57,R 39.07,Generic,44/21.2/0771
719785001,Diaphage,S3,tablet,60.0,R 89.13,R 42.72,Generic,44/21.2/0772
719786001,Diaphage,S3,tablet,60.0,R 94.70,R 44.65,Generic,44/21.2/0773
720438001,Parafizz,S1,effervescent tablet,16.0,R 49.74,R 29.09,Generic,42/2.7/0543
720438002,Parafizz 500,S1,effervescent tablet,48.0,R 112.91,R 50.95,Generic,42/2.7/0543
720711001,Ciclovent 120 doses,S3,inhaler,120.0,R 410.68,R 138.19,Generic,43/21.5.1/1168
720716001,Prazoloc powder for solution vial,S4,injection,10.0,R 57.65,R 31.83,Generic,44/11.4.3/0305
720735001,Ciclovent 120 dose,S3,inhaler,120.0,R 626.60,R 176.64,Generic,43/21.5.1/1169
720738001,Loralex,S2,tablet,10.0,R 81.52,R 40.09,Generic,43/5.7.1/1150
720738002,Loralex,S2,tablet,30.0,R 206.22,R 81.94,Generic,43/5.7.1/1150
