osm_id,name,type,latitude,longitude,address,city,province
916377973,,hospital,-27.0200073,30.8048534,,,KwaZulu-Natal
921692278,sick bay,yes,-29.5993726,30.3484158,,,KwaZulu-Natal
924478895,Scottsville Family Clinic,hospital,-29.6166164,30.3933699,"50, Coronation Road, 3200",Pietermaritzburg,KwaZulu-Natal
925234592,Mamelodi Gardens Health Clinic,hospital,-25.7230512,28.3941404,"1923, Hinterland Avenue, 0122",Mamelodi,Gauteng
925253606,Stanza Bopape Community Health Centre,hospital,-25.7058825,28.3942448,"Stand 2, Shilovhane Street, 0122",Pretoria,Gauteng
926404525,Barberton Provincial Hospital,hospital,-25.7823629,31.0407416,"1, Hospital Street, 1300","Barberton, Mpumalanga",Mpumalanga
926813843,Dr Mary-Saskia Carpenter,alternative,-34.022302,20.4424266,"6, Siebert Street, 6740",Swellendam,Western Cape
930226206,Tshepong Medical Centre,hospital,-25.7130089,28.3774952,Tsamaya Avenue,"Mamelodi East, Pretoria",Gauteng
930226237,Phelang Private Hospital,hospital,-25.7139265,28.3785251,"19489, Molepo Street, 0122","Mamelodi East, Pretoria",Gauteng
930756163,Engage Mens Health Clinic,clinic,-25.7422956,28.2447395,"1310, Stanza Bopape Street, 0028","Hatfield, Pretoria",Gauteng
930890465,Vryburg District Hospital,hospital,-26.9573565,24.7154596,,Vryburg,North West
931173477,Rietfontein Community Healthcare Centre,clinic,-26.7444873,20.0261799,,,Unknown
931761430,Eersterus Clinic,clinic,-25.7074116,28.3188921,"P.S. Fourie Drive, 0022",Eersterust,Gauteng
932613620,Saps Forensic Science Lab,laboratory,-25.74553,28.2164558,,,Gauteng
935683830,Bophelong Psychiatric Hospital,hospital,-25.8862839,25.6918692,,Mahikeng,North West
935812635,Victoria Itokolle Hospital,hospital,-25.8594216,25.6413985,"53, Victoria Street, 2745",Mahikeng,North West
939187737,Zeerust Hospital,hospital,-25.5429138,26.0651033,"1, Hooge Street, 2880",Zeerust,North West
940675693,Mothibistad Shophhing Centre,hospital,-27.3931532,23.4910565,,,Northern Cape
940710928,Quintamed,clinic,-29.1484168,26.1671379,"2, Wag 'n Bietjiebos Avenue, 9301",Pellissier,Free State
941694351,Joe Morolong Memorial Hospital,hospital,-26.97018,24.7224019,"506, South Street, 8601",North West Department of Health,North West
945455361,Mogwase Health Center,clinic,-25.2745365,27.2248829,,,Gauteng
945455363,Mogwase health center,clinic,-25.274488,27.2248514,,,Gauteng
945491007,De Wiekus Medical Practice,clinic,-26.0805705,28.2105883,"34, De Wiekus Road, 1619",Kempton Park,Gauteng
945907013,Die Wilgers,hospital,-25.7682021,28.320219,"Denneboom Road, 0040","Wilgers Ext. 14, Pretoria",Gauteng
948458836,,doctors,-25.7099712,28.1890315,"651, Rhys Avenue",Pretoria,Gauteng
948521146,Job Shimankana Tabane Hospital,hospital,-25.6783127,27.2467709,"Cnr Bosch & Heystek Street, 0299",Rustenburg,Gauteng
948815689,Tlhanane Community Health Centre,hospital,-25.6379814,27.2160659,"3560, Monareng Street, 0299",Tlhabane,Gauteng
949870871,Mediclinic Ermelo,hospital,-26.5425059,29.9879824,"25, Mel Mentz Street, 2356",Ermelo,Mpumalanga
949872706,Ferndale Medical Centre,doctors,-26.1121611,27.9990729,"143, Oak Avenue",,Gauteng
949874445,Midlands Medical Centre Private Hospital,hospital,-29.5927587,30.3911192,"162, Masukwana Street",,KwaZulu-Natal
949874978,Newkwa Medical Centre,clinic,-29.7814978,30.9682881,"909-913, Inanda Road, 4037",Durban,KwaZulu-Natal
952329832,Koster Gateway Clinic,clinic,-25.8561224,26.8962021,Noord Street,Koster,North West
952329838,Koster Hospital,hospital,-25.8558022,26.8945605,"1, Noord Straat, 8348",Koster,North West
956582400,Union Mine Hospital,hospital,-24.9384122,27.1549523,,,North West
964701680,Netcare Ferncrest Hospital,hospital,-25.6481066,27.2138123,"Mothuka Street & Moumo Street, 0309",Tlhabane Rustenburg,Gauteng
