Number,Chapter_No,Chapter_Desc,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc,Valid_ICD10_ClinicalUse,Valid_ICD10_Primary,Valid_ICD10_Asterisk,Valid_ICD10_Dagger,Valid_ICD10_Sequelae,Age_Range,Gender,Status,WHO_Start_date,WHO_End_date,WHO_Revision_History,SA_Start_Date,SA_End_Date,SA_Revision_History,Comment,,,,,,,,,,,,
30287,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.53,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30288,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.54,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30289,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.58,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30290,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.59,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30291,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.6,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area",N,N,N,N,N,,,,2007-03-01 00:00:00,,,,,Fourth character code added,Existing code and description - no change,,,,,,,,,,,,
30292,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.60,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30293,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.61,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30294,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.62,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30295,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.63,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30296,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.64,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30297,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.68,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30298,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.69,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30299,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.7,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm",N,N,N,N,N,,,,2007-03-01 00:00:00,,,,,Fourth character code added,Existing code and description - no change,,,,,,,,,,,,
30300,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.70,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30301,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.71,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30302,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.72,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30303,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.73,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30304,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.74,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30305,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.78,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30306,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.79,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30307,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.8,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places",N,N,N,N,N,,,M,2007-03-01 00:00:00,,,2013-06-01 00:00:00,,Fourth character code added,"Existing code - amend description, should be ""specified"" and not ""specied"" ",,,,,,,,,,,,
30308,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.80,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while engaged in sports activity",Y,N,N,N,N,,,M,,,,2013-06-01 00:00:00,,,"Existing code - amend description, should be ""specified"" and not ""specied"" ",,,,,,,,,,,,
30309,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.81,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while engaged in leisure activity",Y,N,N,N,N,,,M,,,,2013-06-01 00:00:00,,,"Existing code - amend description, should be ""specified"" and not ""specied"" ",,,,,,,,,,,,
30310,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.82,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while working for income",Y,N,N,N,N,,,M,,,,2013-06-01 00:00:00,,,"Existing code - amend description, should be ""specified"" and not ""specied"" ",,,,,,,,,,,,
30311,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.83,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while engaged in other types of work",Y,N,N,N,N,,,M,,,,2013-06-01 00:00:00,,,"Existing code - amend description, should be ""specified"" and not ""specied"" ",,,,,,,,,,,,
30312,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.84,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,M,,,,2013-06-01 00:00:00,,,"Existing code - amend description, should be ""specified"" and not ""specied"" ",,,,,,,,,,,,
30313,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.88,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while engaged in other specified activities",Y,N,N,N,N,,,M,,,,2013-06-01 00:00:00,,,"Existing code - amend description, should be ""specified"" and not ""specied"" ",,,,,,,,,,,,
30314,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.89,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, during unspecified activity",Y,N,N,N,N,,,M,,,,2013-06-01 00:00:00,,,"Existing code - amend description, should be ""specified"" and not ""specied"" ",,,,,,,,,,,,
30315,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.9,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place",N,N,N,N,N,,,,2007-03-01 00:00:00,,,,,Fourth character code added,Existing code and description - no change,,,,,,,,,,,,
30316,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.90,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30317,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.91,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30318,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.92,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30319,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.93,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30320,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.94,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30321,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.98,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30322,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41.99,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30323,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30324,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home",N,N,N,N,N,,,,2007-03-01 00:00:00,,,,,Fourth character code added,Existing code and description - no change,,,,,,,,,,,,
30325,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.00,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30326,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.01,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30327,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.02,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30328,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.03,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30329,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.04,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30330,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.08,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30331,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.09,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30332,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.1,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution",N,N,N,N,N,,,,2007-03-01 00:00:00,,,,,Fourth character code added,Existing code and description - no change,,,,,,,,,,,,
30333,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.10,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30334,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.11,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while engaged in leisure activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30335,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.12,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while working for income",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30336,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.13,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while engaged in other types of work",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30337,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.14,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while resting, sleeping, eating or engaging in other vital activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30338,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.18,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while engaged in other specified activities",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30339,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.19,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, during unspecified activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
30340,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.2,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area",N,N,N,N,N,,,,2007-03-01 00:00:00,,,,,Fourth character code added,Existing code and description - no change,,,,,,,,,,,,
30341,CHAPTER XX,External causes of morbidity and mortality (V01-Y98),241 (X40-X49),Accidents: Other external causes of accidental injury: Accidental poisoning by and exposure to noxious substances,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42.20,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area, while engaged in sports activity",Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
