Number,Chapter_No,Chapter_Desc,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc,Valid_ICD10_ClinicalUse,Valid_ICD10_Primary,Valid_ICD10_Asterisk,Valid_ICD10_Dagger,Valid_ICD10_Sequelae,Age_Range,Gender,Status,WHO_Start_date,WHO_End_date,WHO_Revision_History,SA_Start_Date,SA_End_Date,SA_Revision_History,Comment,,,,,,,,,,,,
58,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.3,Isosporiasis,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
59,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.8,Other specified protozoal intestinal diseases,Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
60,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.9,"Protozoal intestinal disease, unspecified",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
61,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08,Viral and other specified intestinal infections,N,N,N,N,N,,,,2005-11-01 00:00:00,,A,,,Add new code,Existing code and description - no change,,,,,,,,,,,,
62,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.0,Rotaviral enteritis,Y,Y,N,N,N,,,,2005-11-01 00:00:00,,A,,,Add new code,Existing code and description - no change,,,,,,,,,,,,
63,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.1,Acute gastroenteropathy due to Norwalk agent,Y,Y,N,N,N,,,,2005-11-01 00:00:00,,A,,,Add new code,Existing code and description - no change,,,,,,,,,,,,
64,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.2,Adenoviral enteritis,Y,Y,N,N,N,,,,2005-11-01 00:00:00,,A,,,Add new code,Existing code and description - no change,,,,,,,,,,,,
65,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.3,Other viral enteritis,Y,Y,N,N,N,,,,2005-11-01 00:00:00,,A,,,Add new code,Existing code and description - no change,,,,,,,,,,,,
66,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.4,"Viral intestinal infection, unspecified",Y,Y,N,N,N,,,,2005-11-01 00:00:00,,A,,,Add new code,Existing code and description - no change,,,,,,,,,,,,
67,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.5,Other specified intestinal infections,Y,Y,N,N,N,,,,2005-11-01 00:00:00,,A,,,Add new code,Existing code and description - no change,,,,,,,,,,,,
68,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,A09,Other gastroenteritis and colitis of infectious and unspecified origin,N,N,N,N,N,,,M,2010-01-01 00:00:00,,M,2013-06-01 00:00:00,,Modify title,Existing code - amend description of ICD10_3_Code_Desc and WHO_Full_Desc as per the WHO corrigenda,,,,,,,,,,,,
69,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,Y,Y,N,N,N,,,A,2010-01-01 00:00:00,,A,2013-06-01 00:00:00,,,New Code,,,,,,,,,,,,
70,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),001 (A00-A09),Intestinal infectious diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin,A09.9,Gastroenteritis and colitis of unspecified origin,Y,Y,N,N,N,,,A,2010-01-01 00:00:00,,A,2013-06-01 00:00:00,,,New Code,,,,,,,,,,,,
71,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
72,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
73,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.1,"Tuberculosis of lung, confirmed by culture only",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
74,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.2,"Tuberculosis of lung, confirmed histologically",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
75,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.3,"Tuberculosis of lung, confirmed by unspecified means",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
76,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
77,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
78,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
79,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
80,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
81,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
82,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically ",A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
83,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically ",A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
84,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically ",A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
85,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically ",A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
86,CHAPTER I,Certain infectious and parasitic diseases (A00-B99),002 (A15-A19),Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically ",A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Y,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,
